"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04151","Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","82/1395","362/9390",0.226519337016575,1.52474306421909,4.25297428057788,3.74530411218995e-05,0.00049409204249275,0.000374530411218995,"7448/6696/4233/1311/7058/3381/1277/595/4609/3481/3326/5008/23035/1282/2149/2069/285/7422/3673/3695/2335/2788/8516/596/930/284217/2538/1278/1978/374/672/54541/22801/1902/3569/5523/8074/4846/3082/5159/2277/8817/5228/2056/3815/5521/2786/1441/10110/3696/1944/2264/1284/80310/898/7097/1299/5155/8115/1288/84699/3918/1101/1285/1293/7148/1440/2254/5979/1287/1946/51764/1280/102723407/256076/2263/7143/5563/4909/1128/23566/2321",82
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","56/1395","226/9390",0.247787610619469,1.66790370158911,4.24534578025854,5.10811085202539e-05,0.00064891926749804,0.000491892156120963,"2906/2904/5021/111/3352/2149/491/1258/1813/107/51196/6548/6662/8843/7137/1909/338442/5732/815/2903/776/477/10846/482/11069/5567/27198/1908/153/6750/1907/486/489/810/4852/2696/5602/84699/5139/7253/2893/56670/6751/55811/6755/2641/268/5143/117/2902/3360/7434/1261/7432/1128/10398",56
"hsa00350","Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","15/1395","36/9390",0.416666666666667,2.80465949820789,4.5314310742915,8.92955281646549e-05,0.00109387022001702,0.000829172761528939,"127/3242/6898/316/4282/1621/259307/7054/222/124/2184/4128/7173/130/125",15
"hsa04977","Organismal Systems","Digestive system","hsa04977","Vitamin digestion and absorption","12/1395","26/9390",0.461538461538462,3.10669975186104,4.49310072792118,0.000140032927852463,0.00165625152597913,0.00125546762902208,"335/338/8884/6573/10560/2346/6948/337/2694/81693/9227/5948",12
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","27/1395","95/9390",0.284210526315789,1.91307300509338,3.73620027425327,0.000472033585407529,0.00539691732649274,0.00409095774019858,"3576/6372/2920/4312/3589/7422/3552/51561/4314/90423/534/245972/3569/3553/2921/3383/6352/2919/6374/7097/7042/7043/8792/6348/414062/102723407/2321",27
"hsa04726","Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","31/1395","115/9390",0.269565217391304,1.81449275362319,3.67085073229857,0.000515369537385847,0.00559158573000965,0.00423851979534259,"1558/1559/111/3352/2788/3363/123745/260293/1565/3359/776/2786/5567/773/1564/4128/1557/5579/5332/23236/7166/5743/774/3360/51764/2562/5582/3765/6532/3781/5742",31
"hsa04911","Organismal Systems","Endocrine system","hsa04911","Insulin secretion","25/1395","86/9390",0.290697674418605,1.9567391847962,3.72302091182688,0.000521663974811396,0.00559158573000965,0.00423851979534259,"6514/3651/2767/111/107/6513/815/776/477/54795/482/11069/5567/486/6833/5579/2645/84699/5332/23236/2641/117/5582/3781/3779",25
"hsa00340","Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","10/1395","22/9390",0.454545454545455,3.05962854349951,4.03984163325722,0.000592056366228869,0.00610693780228784,0.00462916568103452,"10841/144193/131669/3034/84735/26/222/4128/3067/443",10
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","31/1395","116/9390",0.267241379310345,1.79885057471264,3.61616751177736,0.000605352435212206,0.00610693780228784,0.00462916568103452,"10991/2906/2904/9456/111/27165/6506/2788/107/57030/6507/123745/9762/2903/776/2786/2912/5567/246213/773/2900/6512/2899/2918/5579/2893/5332/23236/2902/51764/5582",31
"hsa04382",NA,NA,"hsa04382","Cornified envelope formation","50/1395","216/9390",0.231481481481481,1.55814416567105,3.4664220321278,0.000710896957736232,0.00696679018581507,0.00528094882889772,"9076/3872/3854/3853/6282/144501/3855/6273/286887/23562/1830/1828/1282/10686/25984/9075/137075/147409/3034/9080/9071/6280/3868/6279/54474/5523/5521/192666/1284/2125/11240/7062/3859/1366/1288/3918/3849/1285/1294/126410/5317/6274/3852/1287/3848/79852/29943/6283/6700/9073",50
"hsa04924","Organismal Systems","Endocrine system","hsa04924","Renin secretion","21/1395","69/9390",0.304347826086957,2.04862085086489,3.65173555217203,0.000736210964419862,0.00701445446655591,0.00531707918747678,"183/111/5734/1909/5593/2977/5732/776/22802/5567/1908/153/1907/810/5139/5332/23236/117/5137/185/9635",21
"hsa04978","Organismal Systems","Digestive system","hsa04978","Mineral absorption","19/1395","61/9390",0.311475409836066,2.0965979199718,3.58907329980043,0.000949207609791992,0.00876730487449386,0.00664577045880001,"7018/6547/491/4891/7421/1181/140803/477/10568/482/1811/486/6550/340024/341208/4499/4496/4494/4495",19
"hsa04081",NA,NA,"hsa04081","Hormone signaling","50/1395","219/9390",0.228310502283105,1.53679972504542,3.35748077602142,0.000985907179287698,0.00876730487449386,0.00664577045880001,"57817/183/5021/3481/2100/2767/111/7066/2788/1813/107/2642/5368/2981/5593/6753/5367/2056/2786/11069/7433/5567/148/2980/553/150/153/6750/552/53919/2696/2852/7068/147/7253/114131/6751/5332/23236/6755/341208/2641/2847/268/6567/51764/7434/152/185/7432",50
"hsa04981",NA,NA,"hsa04981","Folate transport and metabolism","12/1395","31/9390",0.387096774193548,2.60561914672216,3.74021184241694,0.000996865568820001,0.00876730487449386,0.00664577045880001,"10599/28234/1244/635/115072896/6472/6573/2346/23743/9429/4522/2348",12
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","22/1395","76/9390",0.289473684210526,1.94850028296548,3.46787698458883,0.0011731525975551,0.010059783524035,0.00762549188410814,"4973/336/335/345/116519/1582/10998/23305/6319/4312/123/2180/2172/440503/28965/9415/33/6258/51129/2169/2168/1593",22
